Date,Content,Comment
2019-07-21,https://boxd.it/L38d7,It was not <i><b>that</b></i> bad.
2019-08-28,https://boxd.it/NpvHL,"I appreciated it but since it's not a film and a YouTube mini series, I didn't give it a rating. I'm with Jaxon on not spamming and manipulating this site."
2019-08-30,https://boxd.it/NDUBh,It was never good 😆
2019-09-07,https://boxd.it/O2rm3,1½? Oh man. This is a solid 3.5+. When has Disney last released something this original.
2019-11-21,https://boxd.it/kgoRP,I have the same tradition with a close friend that moved across the country
2019-12-15,https://boxd.it/RP5X7,"This is true, if you don't count the Ferrari"
2020-01-16,https://boxd.it/WIEMT,"You're gonna have to explain this one, bud."
2020-02-08,https://boxd.it/YEvbJ,You should watch the Documentary because it also deserves a lot of praise. 
2020-02-29,https://boxd.it/10qt4h, stop reviewing movies before you've seen them pleeeaaasse it's not a youtube comments section 😩
2020-03-08,https://boxd.it/ZMhll,This.
2020-03-08,https://boxd.it/107I5V,Blasphemy
2020-03-18,https://boxd.it/11YFD1,"Oh man, i'm dreading watching this... But I also know it will be good."
2020-04-09,https://boxd.it/149XzL,and you ate it up!
2020-04-29,https://boxd.it/oVZ1J,lol aren't you the director?
2020-04-30,https://boxd.it/oVZ1J,Of course you can. I just thought it was honest and constructive. Love it! Work on anything new lately? Would love to see!
2020-05-25,https://boxd.it/1a0Krb,"Holy crap, I was going to put that quote in my review too! I tweeted it right after it was said. Brilliant film. Brilliant story. American treasures."
2020-07-04,https://boxd.it/YEvbJ,@aishah Amazon Prime
2020-07-24,https://boxd.it/1fjxPn,"I enjoyed this one, too. Will be rewatching it soon."
2020-09-01,https://boxd.it/QCLxl,"""right there, he's in that truck. Yeah, it's hard to see him since the whole car is covered in dust but I assure you thats him!"""
2021-01-15,https://boxd.it/1ACDep,"Best review I’ve seen yet. You summarized the movie well, and hit the points of contention well. Cheers"
2021-04-03,https://boxd.it/1LgUF3,Hoping to get to this one in the next week
2021-04-25,https://boxd.it/1OEhRz,This is the show not the movie
2021-06-06,https://boxd.it/1Ulpst,A punishment most cruel.
2021-08-08,https://boxd.it/1XXg9P,"It wasn't removed before, previously this wasn't on here. Only the cover was. It was a behind-the-scenes featurette. They finally fixed it."
2021-10-13,https://boxd.it/2cGe11,Almost sounds like a diss to Mr. Zimmer
2022-01-21,https://boxd.it/2vkEEF,"This role seemed pretty fitting for him though. 
I think the thing that carried this movie though was the fact that this stuff happened in real life. So crazy"
2022-01-22,https://boxd.it/2vwYkJ,Something tells me they were forced to reboot.
2022-02-12,https://boxd.it/2zrNmP,"Wait, are you dirty mike and the boys?"
2022-02-23,https://boxd.it/2BoPD1,Now he's stolen Horizon Worlds from VR Chat. 
2022-08-18,https://boxd.it/38UtsV,Why do people keep commenting this?
2023-04-12,https://boxd.it/46BCzj,Welcome
2023-04-29,https://boxd.it/45RCYV,You're coming up to 20 days without a movie logged. You alright? 👀
2023-05-12,https://boxd.it/45RCYV,"I really need to get your number again haha

Did you see that the Cinerama is officially no more? SIFF bought it and is renaming it and changing it. Sad day."
2023-06-19,https://boxd.it/3UQITr,That’s because they tried to make it funny-bad on purpose 🥴
2023-06-23,https://boxd.it/4pswFD,Probably my favorite of the season
2023-06-25,https://boxd.it/4qaGpD,"Have you seen the video comparing to its original script? There’s a better movie in there it’s just been rewritten one too many times. 

https://youtu.be/k7hGvFNpaJI"
2023-06-28,https://boxd.it/4raXHD,I don’t know if we can hang out anymore. 
2023-07-18,https://boxd.it/1PHvl3,And engaged now
2023-08-31,https://boxd.it/4sO4g7,People gotta stop doing this
2023-09-13,https://boxd.it/4Q91H9,🤔
2023-09-22,https://boxd.it/4RFgFZ,"Yeah, but have you played Doom 3?"
2024-02-17,https://boxd.it/5QOKnj,Truly the first time I’ve seen a faux film effect that totally fooled me. Thoroughly enjoyed this one. 
2024-03-20,https://boxd.it/64kw3Z,"Would you still recommend watching this?
"
2024-05-07,https://boxd.it/6p3tmJ,how dare you
2024-06-02,https://boxd.it/6AiqF3,Was the CGI more obvious than fury road? Everything I’ve seen so far makes this look and feel like an imitation of that movie. 
2024-07-17,https://boxd.it/6ShS4f,Relatable
2024-08-27,https://boxd.it/7bsk0h,"To be fair, early MCU was paramount"
